run_id,goal,confidence,timestep,true_goal
run_1787748376,breakfast,0.9995704970520479,12,breakfast
run_1787748665,breakfast,0.9999869793362066,12,breakfast
run_1787748977,breakfast,0.9999959004888114,15,breakfast
run_1787750098,breakfast,0.9999754056974871,12,breakfast
run_1787750327,breakfast,0.9999997965018368,16,breakfast
run_1787750602,lunch,0.9999921875610347,12,lunch
run_1787750807,lunch,0.999990940882488,17,lunch
run_1787751161,breakfast,0.9993038703507322,12,lunch
run_1787751376,lunch,0.9999982791506393,17,lunch
run_1787753917,lunch,0.9999921875610347,12,lunch
run_1787754140,drink,0.9999609390258194,12,drink
run_1787754293,drink,0.999927531655398,13,drink
run_1787754647,drink,0.9999456477568442,13,drink
run_1787754833,drink,0.9999916992876524,12,drink
run_1787763538,drink,0.9999979089851304,16,drink
